t_over_T,y1_case_0,y2_case_0,y1_case_1,y2_case_1,y1_case_2,y2_case_2
0.0,1.0,1.0,1.0,6.123233995736766e-17,1.0,-1.0
0.0015,0.9999555871089498,0.9999555871089498,0.9999555871089498,-0.009424638433144025,0.9999555871089498,-0.9999555871089498
0.003,0.999822352380809,0.999822352380809,0.999822352380809,-0.018848439715408054,0.999822352380809,-0.999822352380809
0.0045000000000000005,0.9996003076502565,0.9996003076502565,0.9996003076502565,-0.028270566770273207,0.9996003076502565,-0.9996003076502565
0.006,0.9992894726405892,0.9992894726405892,0.9992894726405892,-0.037690182669934576,0.9992894726405892,-0.9992894726405892
0.0075,0.99888987496197,0.99888987496197,0.99888987496197,-0.047106450709642554,0.99888987496197,-0.99888987496197
0.009000000000000001,0.998401550108975,0.998401550108975,0.998401550108975,-0.0565185344820245,0.998401550108975,-0.998401550108975
0.0105,0.9978245414574415,0.9978245414574415,0.9978245414574415,-0.06592559795137769,0.9978245414574415,-0.9978245414574415
0.012,0.9971589002606139,0.9971589002606139,0.9971589002606139,-0.07532680552793262,0.9971589002606139,-0.9971589002606139
0.0135,0.9964046856445924,0.9964046856445924,0.9964046856445924,-0.08472132214207344,0.9964046856445924,-0.9964046856445924
0.015,0.99556196460308,0.99556196460308,0.99556196460308,-0.09410831331851416,0.99556196460308,-0.99556196460308
0.0165,0.9946308119914323,0.9946308119914323,0.9946308119914323,-0.10348694525042246,0.9946308119914323,-0.9946308119914323
0.018000000000000002,0.9936113105200084,0.9936113105200084,0.9936113105200084,-0.1128563848734817,0.9936113105200084,-0.9936113105200084
0.0195,0.9925035507468237,0.9925035507468237,0.9925035507468237,-0.1222157999398893,0.9925035507468237,-0.9925035507468237
0.021,0.9913076310695066,0.9913076310695066,0.9913076310695066,-0.13156435909228245,0.9913076310695066,-0.9913076310695066
0.0225,0.9900236577165575,0.9900236577165575,0.9900236577165575,-0.1409012319375827,0.9900236577165575,-0.9900236577165575
0.024,0.9886517447379141,0.9886517447379141,0.9886517447379141,-0.15022558912075692,0.9886517447379141,-0.9886517447379141
0.025500000000000002,0.9871920139948192,0.9871920139948192,0.9871920139948192,-0.15953660239848627,0.9871920139948192,-0.9871920139948193
0.027,0.985644595148998,0.985644595148998,0.985644595148998,-0.1688334447127339,0.985644595148998,-0.985644595148998
0.0285,0.9840096256511397,0.9840096256511397,0.9840096256511397,-0.17811529026421002,0.9840096256511397,-0.9840096256511398
0.03,0.9822872507286887,0.9822872507286887,0.9822872507286887,-0.1873813145857246,0.9822872507286887,-0.9822872507286887
0.0315,0.9804776233729444,0.9804776233729444,0.9804776233729444,-0.1966306946154201,0.9804776233729444,-0.9804776233729444
0.033,0.9785809043254721,0.9785809043254721,0.9785809043254721,-0.20586260876988124,0.9785809043254721,-0.9785809043254722
0.0345,0.9765972620638246,0.9765972620638246,0.9765972620638246,-0.21507623701711337,0.9765972620638246,-0.9765972620638247
0.036000000000000004,0.9745268727865771,0.9745268727865771,0.9745268727865771,-0.22427076094938125,0.9745268727865771,-0.9745268727865771
0.0375,0.9723699203976766,0.9723699203976766,0.9723699203976766,-0.23344536385590534,0.9723699203976766,-0.9723699203976767
0.039,0.9701265964901058,0.9701265964901058,0.9701265964901058,-0.24259923079540743,0.9701265964901058,-0.9701265964901059
0.0405,0.9677971003288655,0.9677971003288655,0.9677971003288655,-0.25173154866849695,0.9677971003288655,-0.9677971003288655
0.042,0.9653816388332739,0.9653816388332739,0.9653816388332739,-0.2608415062898969,0.9653816388332739,-0.9653816388332739
0.043500000000000004,0.9628804265585876,0.9628804265585876,0.9628804265585876,-0.2699282944604964,0.9628804265585876,-0.9628804265585876
0.045,0.9602936856769431,0.9602936856769431,0.9602936856769431,-0.27899110603922916,0.9602936856769431,-0.9602936856769431
0.0465,0.9576216459576222,0.9576216459576222,0.9576216459576222,-0.28802913601476915,0.9576216459576222,-0.9576216459576222
0.048,0.954864544746643,0.954864544746643,0.954864544746643,-0.29704158157703475,0.954864544746643,-0.9548645447466431
0.0495,0.9520226269456766,0.9520226269456766,0.9520226269456766,-0.30602764218850065,0.9520226269456766,-0.9520226269456766
0.051000000000000004,0.9490961449902946,0.9490961449902946,0.9490961449902946,-0.3149865196553048,0.9490961449902946,-0.9490961449902946
0.0525,0.9460853588275453,0.9460853588275453,0.9460853588275453,-0.3239174181981493,0.9460853588275453,-0.9460853588275454
0.054,0.9429905358928645,0.9429905358928645,0.9429905358928645,-0.33281954452298657,0.9429905358928645,-0.9429905358928644
0.0555,0.9398119510863197,0.9398119510863197,0.9398119510863197,-0.3416921078914833,0.9398119510863197,-0.9398119510863197
0.057,0.9365498867481923,0.9365498867481923,0.9365498867481923,-0.35053432019125885,0.9365498867481923,-0.9365498867481924
0.0585,0.9332046326338985,0.9332046326338985,0.9332046326338985,-0.3593453960058906,0.9332046326338985,-0.9332046326338985
0.06,0.9297764858882515,0.9297764858882515,0.9297764858882515,-0.368124552684678,0.9297764858882515,-0.9297764858882515
0.0615,0.9262657510190667,0.9262657510190667,0.9262657510190667,-0.37687101041216253,0.9262657510190667,-0.9262657510190667
0.063,0.9226727398701149,0.9226727398701149,0.9226727398701149,-0.3855839922773965,0.9226727398701149,-0.9226727398701148
0.0645,0.9189977715934213,0.9189977715934213,0.9189977715934213,-0.394262724342951,0.9189977715934213,-0.9189977715934213
0.066,0.9152411726209175,0.9152411726209175,0.9152411726209175,-0.4029064357136626,0.9152411726209175,-0.9152411726209176
0.0675,0.9114032766354453,0.9114032766354453,0.9114032766354453,-0.41151435860510877,0.9114032766354453,-0.9114032766354452
0.069,0.9074844245411169,0.9074844245411169,0.9074844245411169,-0.4200857284118063,0.9074844245411169,-0.907484424541117
0.07050000000000001,0.9034849644330348,0.9034849644330348,0.9034849644330348,-0.42861978377512827,0.9034849644330348,-0.9034849644330349
0.07200000000000001,0.8994052515663711,0.8994052515663711,0.8994052515663711,-0.4371157666509331,0.8994052515663711,-0.899405251566371
0.0735,0.8952456483248117,0.8952456483248117,0.8952456483248117,-0.44557292237689633,0.8952456483248117,-0.8952456483248117
0.075,0.8910065241883679,0.8910065241883679,0.8910065241883679,-0.45399049973954675,0.8910065241883679,-0.8910065241883679
0.0765,0.8866882557005565,0.8866882557005565,0.8866882557005565,-0.4623677510409916,0.8866882557005565,-0.8866882557005566
0.078,0.8822912264349533,0.8822912264349533,0.8822912264349533,-0.47070393216533263,0.8822912264349533,-0.8822912264349533
0.0795,0.8778158269611217,0.8778158269611217,0.8778158269611217,-0.47899830264476095,0.8778158269611217,-0.8778158269611217
0.081,0.8732624548099202,0.8732624548099202,0.8732624548099202,-0.4872501257253321,0.8732624548099202,-0.8732624548099203
0.0825,0.8686315144381912,0.8686315144381912,0.8686315144381912,-0.4954586684324076,0.8686315144381912,-0.8686315144381912
0.084,0.8639234171928353,0.8639234171928353,0.8639234171928353,-0.5036232016357608,0.8639234171928353,-0.8639234171928354
0.0855,0.8591385812742723,0.8591385812742723,0.8591385812742723,-0.5117430001143448,0.8591385812742723,-0.8591385812742726
0.08700000000000001,0.8542774316992952,0.8542774316992952,0.8542774316992952,-0.5198173426207096,0.8542774316992952,-0.8542774316992952
0.0885,0.8493404002633166,0.8493404002633166,0.8493404002633166,-0.5278455119450663,0.8493404002633166,-0.8493404002633166
0.09,0.8443279255020151,0.8443279255020151,0.8443279255020151,-0.5358267949789964,0.8443279255020151,-0.8443279255020152
0.0915,0.8392404526523817,0.8392404526523817,0.8392404526523817,-0.5437604827787922,0.8392404526523817,-0.8392404526523819
0.093,0.8340784336131712,0.8340784336131712,0.8340784336131712,-0.5516458706284302,0.8340784336131712,-0.8340784336131712
0.0945,0.8288423269047619,0.8288423269047619,0.8288423269047619,-0.5594822581021668,0.8288423269047619,-0.828842326904762
0.096,0.8235325976284275,0.8235325976284275,0.8235325976284275,-0.5672689491267563,0.8235325976284275,-0.8235325976284277
0.0975,0.8181497174250235,0.8181497174250235,0.8181497174250235,-0.5750052520432786,0.8181497174250235,-0.8181497174250235
0.099,0.812694164433094,0.812694164433094,0.812694164433094,-0.5826904796685759,0.812694164433094,-0.8126941644330941
0.1005,0.8071664232464003,0.8071664232464003,0.8071664232464003,-0.5903239493562943,0.8071664232464003,-0.8071664232464004
0.10200000000000001,0.8015669848708766,0.8015669848708766,0.8015669848708766,-0.5979049830575189,0.8015669848708766,-0.8015669848708766
0.10350000000000001,0.7958963466810158,0.7958963466810158,0.7958963466810158,-0.6054329073810013,0.7958963466810158,-0.7958963466810159
0.105,0.7901550123756904,0.7901550123756904,0.7901550123756904,-0.6129070536529763,0.7901550123756904,-0.7901550123756905
0.1065,0.78434349193341,0.78434349193341,0.78434349193341,-0.620326757976556,0.78434349193341,-0.78434349193341
0.108,0.7784623015670235,0.7784623015670235,0.7784623015670235,-0.6276913612907004,0.7784623015670235,-0.7784623015670236
