sample_time_s,sample_value,candidate_150_hz,candidate_850_hz_phase_pi
0.0,0.0,0.0,1.2246467991473532e-16
0.001,0.8090169943749475,0.8090169943749475,0.8090169943749476
0.002,0.9510565162951536,0.9510565162951536,0.9510565162951534
0.003,0.3090169943749475,0.3090169943749475,0.309016994374945
0.004,-0.587785252292473,-0.587785252292473,-0.5877852522924739
0.005,-1.0,-1.0,-1.0
0.006,-0.5877852522924734,-0.5877852522924734,-0.587785252292472
0.007,0.3090169943749472,0.3090169943749472,0.30901699437494723
0.008,0.9510565162951535,0.9510565162951535,0.951056516295153
0.009000000000000001,0.8090169943749476,0.8090169943749476,0.8090169943749493
0.01,3.6739403974420594e-16,3.6739403974420594e-16,-9.309791596066238e-15
0.011,-0.8090169943749472,-0.8090169943749472,-0.809016994374952
0.012,-0.9510565162951538,-0.9510565162951538,-0.9510565162951516
0.013000000000000001,-0.3090169943749479,-0.3090169943749479,-0.30901699437494307
0.014,0.5877852522924727,0.5877852522924727,0.5877852522924756
0.015,1.0,1.0,1.0
0.016,0.5877852522924736,0.5877852522924736,0.5877852522924732
0.017,-0.3090169943749485,-0.3090169943749485,-0.30901699437494584
0.018000000000000002,-0.9510565162951534,-0.9510565162951534,-0.9510565162951525
0.019,-0.8090169943749489,-0.8090169943749489,-0.8090169943749419
0.02,-7.347880794884119e-16,-7.347880794884119e-16,7.838977475816237e-15
