eta_Z2_sobre_Z1,R_p,R_I
0.1,-0.8181818181818181,0.6694214876033057
0.10077177264396599,-0.81690705530735,0.6673371370109258
0.10154950161807173,-0.8156242611541195,0.6652429353832032
0.10233323289164381,-0.8143333978542896,0.6631388828609127
0.10312301278878754,-0.8130344275420673,0.6610249803686572
0.10391888799112498,-0.8117273123567381,0.6589012296258935
0.10472090554055413,-0.8104120144457431,0.6567676331580072
0.10552911284202961,-0.8090884959677966,0.6546241943074312
0.10634355766636439,-0.8077567190960513,0.6524709172448171
0.1071642881530536,-0.8064166460213007,0.6503078069802438
0.10799135281311975,-0.805068238955229,0.6481348693744738
0.10882480053198021,-0.803711460133703,0.6459521111502489
0.1096646805723366,-0.8023462718201062,0.6437595399036238
0.1105110425770866,-0.8009726363087193,0.6415571641153399
0.11136393657225817,-0.7995905159281412,0.639344993162231
0.11222341296996649,-0.7981998730447569,0.637123037328666
0.11308952257139368,-0.7968006700662478,0.6348913078180214
0.11396231656979144,-0.7953928694451461,0.6326498167641832
0.11484184655350702,-0.7939764336824341,0.6303985772430767
0.1157281645090324,-0.7925513253311881,0.6281376032842227
0.11662132282407707,-0.7911175070002658,0.6258669098823156
0.11752137429066456,-0.7896749413580387,0.623586513008822
0.11842837210825283,-0.7882235911361695,0.6212964296235992
0.11934236988687857,-0.786763419133434,0.6189966776865314
0.12026342165032622,-0.7852943882195866,0.6166872761691748
0.12119158183932091,-0.7838164613392735,0.6143682450664208
0.12212690531474645,-0.7823296015159873,0.6120396054081635
0.12306944736088792,-0.7808337718560682,0.6097013792709743
0.12401926368869937,-0.7793289355527506,0.6073535897897834
0.12497641043909684,-0.7778150558902538,0.6049962611695586
0.12594094418627644,-0.7762920962479171,0.6026294186969853
0.1269129219410586,-0.7747600201043812,0.6002530887521411
0.12789240115425762,-0.7732187910418127,0.5978672988201624
0.12887943972007743,-0.7716683727501761,0.5954720775029047
0.12987409597953362,-0.7701087290315466,0.5930674545305841
0.1308764287239018,-0.7685398238044722,0.5906534607734091
0.13188649719819254,-0.7669616211083763,0.5882301282531885
0.13290436110465315,-0.7653740851080084,0.5857974901549209
0.13393008060629666,-0.7637771800979367,0.583355580838356
0.13496371633045767,-0.7621708705070861,0.5809044358495294
0.13600532937237603,-0.7605551209033207,0.5784440919322648
0.13705498129880786,-0.7589298959980705,0.5759745870396421
0.13811273415166478,-0.7572951606510012,0.5734959603454257
0.1391786504516808,-0.7556508798747292,0.5710082522554525
0.14025279320210793,-0.7539970188395788,0.5685115044189721
0.14133522589244002,-0.7523335428783838,0.566005759739941
