diferencia_nivel_dB,incremento_total_dB
0.0,3.010299956639812
0.04008016032064128,2.9903061127781743
0.08016032064128256,2.9704047395449624
0.12024048096192384,2.9505958310336906
0.16032064128256512,2.930879377401334
0.2004008016032064,2.911255364870004
0.24048096192384769,2.8917237757292975
0.280561122244489,2.8722845883393044
0.32064128256513025,2.852937777134299
0.3607214428857715,2.8336833126270817
0.4008016032064128,2.814521161413996
0.4408817635270541,2.7954512861806053
0.48096192384769537,2.776473645708028
0.5210420841683366,2.7575881948799363
0.561122244488978,2.7387948846902073
0.6012024048096192,2.720093662251228
0.6412825651302605,2.7014844708028547
0.6813627254509018,2.6829672497220116
0.721442885771543,2.6645419345329415
0.7615230460921844,2.646208456918093
0.8016032064128256,2.6279667447296404
0.8416833667334669,2.6098167220016433
0.8817635270541082,2.5917583089628278
0.9218436873747494,2.573791422049991
0.9619238476953907,2.555915973922031
1.002004008016032,2.5381318734745784
1.0420841683366733,2.5204390258552496
1.0821643286573146,2.5028373324794897
1.122244488977956,2.485326691047022
1.1623246492985972,2.4679069955588897
1.2024048096192383,2.4505781363350714
1.2424849699398797,2.433340000032693
1.282565130260521,2.4161924696647956
1.3226452905811623,2.3991354246196845
1.3627254509018036,2.382168740680826
1.4028056112224447,2.3652922900473055
1.442885771543086,2.348505941354827
1.4829659318637274,2.3318095596972546
1.5230460921843687,2.3152030066486775
1.56312625250501,2.2986861402860104
1.6032064128256511,2.282258815212098
1.6432865731462925,2.265920882579335
1.6833667334669338,2.2496721901137846
1.723446893787575,2.233512582139784
1.7635270541082164,2.2174418996050442
1.8036072144288577,2.201459980106211
1.8436873747494988,2.1855666579149053
1.8837675350701402,2.169761764004211
1.9238476953907815,2.1540451260756193
1.9639278557114228,2.1384165685864134
2.004008016032064,2.122875912777476
2.0440881763527052,2.107422976701527
2.0841683366733466,2.092057575251776
2.124248496993988,2.0767795201909647
2.164328657314629,2.0615886201808236
2.2044088176352705,2.0464846808118957
2.244488977955912,2.031467504633744
2.284569138276553,2.016536891185525
2.3246492985971945,2.001692637026915
2.3647294589178354,1.9869345357693837
2.4048096192384767,1.972262378107805
2.444889779559118,1.9576759518523938
2.4849699398797593,1.9431750419609581
2.5250501002004007,1.9287594305714593
2.565130260521042,1.9144288970348695
2.6052104208416833,1.9001832179483145
2.6452905811623246,1.8860221671884925
2.685370741482966,1.8719455159453617
2.7254509018036073,1.8579530327560836
2.7655310621242486,1.8440444835392091
2.8056112224448895,1.830219631629109
2.845691382765531,1.8164782378106217
2.885771543086172,1.8028200603539197
2.9258517034068134,1.789244855049588
2.9659318637274548,1.7757523752438895
3.006012024048096,1.7623423718742215
3.0460921843687374,1.7490145935047465
3.0861723446893787,1.735768786362188
3.12625250501002,1.722604694371784
3.1663326653306614,1.7095220591933833
3.2064128256513023,1.6965206202576817
3.2464929859719436,1.6836001148025757
3.286573146292585,1.6707602779096475
3.3266533066132262,1.658000842540737
3.3667334669338675,1.645321539574625
3.406813627254509,1.6327220978437997
3.44689378757515,1.620202244171292
3.4869739478957915,1.6077617034075944
3.527054108216433,1.5954001984676214
3.567134268537074,1.5831174503677286
3.6072144288577155,1.5709131782627699
3.6472945891783564,1.558787099483181
3.6873747494989977,1.546738929572087
3.727454909819639,1.5347683823224223
3.7675350701402803,1.5228751698140497
3.8076152304609217,1.511059002450875
3.847695390781563,1.4993195889979511
3.8877755511022043,1.4876566366185495
3.9278557114228456,1.4760698509112082
3.967935871743487,1.4645589359467313
4.008016032064128,1.453123594305144
4.04809619238477,1.4417635271125928
4.0881763527054105,1.4304784340781682
4.128256513026052,1.419268013530667
4.168336673346693,1.4081319624552657
4.208416833667335,1.3970699765301013
4.248496993987976,1.3860817501627656
4.288577154308617,1.3751669765266794
4.328657314629258,1.3643253475973673
4.368737474949899,1.3535565541886063
4.408817635270541,1.342860285988445
4.448897795591182,1.332236231595094
4.488977955911824,1.3216840785526713
4.529058116232465,1.3112035133867992
4.569138276553106,1.3007942216400488
4.609218436873747,1.290455887907222
4.649298597194389,1.28018819587046
4.68937875751503,1.2699908283341885
4.729458917835671,1.259863467259871
4.7695390781563125,1.2498057938005827
4.809619238476953,1.239817488335386
4.849699398797595,1.2298982305035147
4.889779559118236,1.2200476992383498
4.929859719438878,1.2102655728011809
4.969939879759519,1.2005515288147635
5.01002004008016,1.190905244296648
5.050100200400801,1.1813263956922848
5.090180360721443,1.1718146589078995
5.130260521042084,1.1623697093431375
5.170340681362725,1.1529912219234555
5.210420841683367,1.1436788711322872
5.2505010020040075,1.1344323310429452
5.290581162324649,1.1252512753502744
5.33066132264529,1.1161353774020515
5.370741482965932,1.107084310230119
5.410821643286573,1.098097746581256
5.4509018036072145,1.089175358947779
5.490981963927855,1.0803168195978732
5.531062124248497,1.0715218006056395
5.571142284569138,1.062789973880879
5.611222444889779,1.0541210111985742
5.651302605210421,1.0455145842280993
5.691382765531062,1.0369703645621393
5.731462925851703,1.0284880237453142
5.771543086172344,1.020067233302513
5.811623246492986,1.0117076647669268
5.851703406813627,1.0034089897077905
5.891783567134269,0.9951708797578165
5.9318637274549095,0.9869930066403279
5.971943887775551,0.9788750421960866
6.012024048096192,0.9708166584098127
6.052104208416833,0.962817527436399
6.092184368737475,0.9548773216268079
6.132264529058116,0.9469957135536633
6.1723446893787575,0.9391723760365257
6.212424849699398,0.9314069821668485
6.25250501002004,0.9236992053326271
6.292585170340681,0.9160487192427207
6.332665330661323,0.908455197950867
6.372745490981964,0.900918315879365
6.4128256513026045,0.8934377478424492
6.452905811623246,0.8860131690693371
6.492985971943887,0.8786442552269581
6.533066132264529,0.8713306824423572
6.57314629258517,0.8640721273247866
6.613226452905812,0.8568682669874599
6.6533066132264524,0.8497187790690004
6.693386773547094,0.8426233417545548
6.733466933867735,0.8355816337965892
6.773547094188377,0.828593334535367
6.813627254509018,0.8216581239190976
6.853707414829659,0.8147756825237694
6.8937875751503,0.807945691572657
6.933867735470941,0.801167832955514
6.973947895791583,0.7944417892474376
7.014028056112224,0.7877672437274226
7.054108216432866,0.7811438803965893
7.0941883767535066,0.7745713839960994
7.134268537074148,0.7680494400247505
7.174348697394789,0.7615777347562581
7.214428857715431,0.7551559552562205
7.254509018036072,0.7487837893987699
7.294589178356713,0.7424609258829138
7.3346693386773545,0.7361870542485617
7.374749498997995,0.7299618648922446
7.414829659318637,0.7237850490825226
7.454909819639278,0.7176562989750892
7.49498997995992,0.7115753076275665
7.535070140280561,0.7055417690139988
7.575150300601202,0.6995553780390431
7.615230460921843,0.6936158305518585
7.655310621242485,0.6877228233596975
7.695390781563126,0.6818760542411966
7.735470941883767,0.6760752219593791
7.775551102204409,0.670320026274354
7.8156312625250495,0.6646101679557346
7.855711422845691,0.6589453487947573
7.895791583166332,0.653325271616122
7.935871743486974,0.6477496402895366
7.975951903807615,0.6422181597409915
8.016032064128256,0.6367305359637389
8.056112224448897,0.6312864760290048
8.09619238476954,0.6258856880964146
8.13627254509018,0.6205278814241528
8.176352705410821,0.6152127663788449
8.216432865731463,0.609940054445169
8.256513026052104,0.6047094582352047
8.296593186372744,0.5995206914975132
8.336673346693386,0.5943734691259536
8.376753507014028,0.5892675071682408
8.41683366733467,0.5842025228342487
8.45691382765531,0.5791782345040504
8.496993987975952,0.5741943617357111
8.537074148296593,0.5692506252728302
8.577154308617233,0.564346747051836
8.617234468937875,0.5594824502090282
8.657314629258517,0.5546574590873896
8.697394789579159,0.5498714992431485
8.737474949899799,0.5451242974521073
8.77755511022044,0.5404155817157332
8.817635270541082,0.5357450812670251
8.857715430861724,0.5311125265761376
8.897795591182364,0.5265176493557894
8.937875751503006,0.5219601825664436
8.977955911823647,0.5174398604212658
9.018036072144287,0.5129564183908601
9.05811623246493,0.5085095932077994
