r_sobre_r0,plano,cilindrico,esferico
1.0,1.0,1.0,1.0
1.011686143572621,1.0,0.9884488448844885,0.9770311189534796
1.023372287145242,1.0,0.9771615008156608,0.9548445986763147
1.0350584307178632,1.0,0.9661290322580645,0.933405306971904
1.0467445742904842,1.0,0.9553429027113237,0.9126800617608978
1.0584307178631052,1.0,0.944794952681388,0.8926375026122262
1.0701168614357262,1.0,0.9344773790951638,0.8732479720405666
1.0818030050083474,1.0,0.9243827160493826,0.8544834057308336
1.0934891485809684,1.0,0.914503816793893,0.8363172309305984
1.1051752921535893,1.0,0.904833836858006,0.8187242723231806
1.1168614357262103,1.0,0.8953662182361735,0.8016806647585469
1.1285475792988313,1.0,0.886094674556213,0.7851637722768812
1.1402337228714523,1.0,0.8770131771595902,0.7691521129115586
1.1519198664440735,1.0,0.8681159420289855,0.7536252888048728
1.1636060100166945,1.0,0.8593974175035868,0.7385639212118342
1.1752921535893155,1.0,0.8508522727272727,0.7239495900051652
1.1869782971619365,1.0,0.8424753867791843,0.7097647773287362
1.1986644407345577,1.0,0.8342618384401114,0.6959928150774745
1.2103505843071787,1.0,0.8262068965517241,0.6826178359096313
1.2220367278797997,1.0,0.8183060109289617,0.66962472752247
1.2337228714524207,1.0,0.810554803788904,0.6569990899452686
1.2454090150250416,1.0,0.8029490616621985,0.644727195624205
1.2570951585976629,1.0,0.795484727755644,0.6327959520924711
1.2687813021702838,1.0,0.7881578947368421,0.6211928670360111
1.2804674457429048,1.0,0.7809647979139505,0.6099060155807775
1.2921535893155258,1.0,0.7739018087855297,0.5989240096415146
1.303839732888147,1.0,0.7669654289372598,0.588235969184915
1.315525876460768,1.0,0.7601522842639593,0.5778314952717152
1.327212020033389,1.0,0.7534591194968553,0.5677006447529765
1.33889816360601,1.0,0.7468827930174564,0.5578339065055565
1.350584307178631,1.0,0.7404202719406675,0.548222179100692
1.362270450751252,1.0,0.7340686274509804,0.5388567498077663
1.3739565943238732,1.0,0.7278250303766707,0.5297292748428016
1.3856427378964942,1.0,0.7216867469879518,0.5208317607780519
1.3973288814691152,1.0,0.7156511350059738,0.5121565470353384
1.4090150250417364,1.0,0.7097156398104265,0.503696289391523
1.4207011686143574,1.0,0.7038777908343126,0.49544394442979217
1.4323873121869783,1.0,0.6981351981351981,0.48739275487527234
